#,Age,City,College,Conference,Division,Exp.,Ht.,Name,Pos.,Team,Team Logo,Team Roster,Wt.
92,24,"New Orleans, LA",Ferris State,NFC,NFC-South,R,6-3,"Zimmer, Justin",DT,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,292
93,24,"East Rutherford, NJ",Clemson,NFC,NFC-East,2,6-0,"Goodson, B.J.",OLB,Giants,https://cpt.azureedge.net/NFLTeamImages/giants.png,http://www.giants.com/team/roster.html,242
93,24,"Green Bay, WI",Arizona,NFC,NFC-North,1,6-3,"Gilbert, Reggie",LB,Packers,https://cpt.azureedge.net/NFLTeamImages/packers.png,http://www.packers.com/team/players.html,261
93,24,"Nashville, TN",Clemson,AFC,AFC-South,2,6-5,"Dodd, Kevin",OLB,Titans,https://cpt.azureedge.net/NFLTeamImages/titans.png,http://www.titansonline.com/team/roster.html,277
93,24,"New Orleans, LA",Manitoba (Canada),NFC,NFC-South,R,6-4,"Onyemata, David",DL,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,300
93,24,"Philadelphia, PA",Florida State,NFC,NFC-East,4,6-2,"Jernigan, Tim",DT,Eagles,https://cpt.azureedge.net/NFLTeamImages/eagles.png,http://www.philadelphiaeagles.com/team/roster.html,295
93,24,"Pittsburg, PA",Tennessee,AFC,AFC-North,4,6-7,"McCullers, Daniel",DT,Steelers,https://cpt.azureedge.net/NFLTeamImages/steelers.png,http://www.steelers.com/team/roster.html,352
93,24,"Seattle, WA",Mississippi,NFC,NFC-West,R,6-3,"Liggins, Jeremy",DT,Seahawks,https://cpt.azureedge.net/NFLTeamImages/seahawks.png,http://www.seahawks.com/team/roster,315
94,24,"Chicago, IL",Georgia,NFC,NFC-North,2,6-6,"Floyd, Leonard",LB,Bears,https://cpt.azureedge.net/NFLTeamImages/bears.png,http://www.chicagobears.com/team/roster.html,240
94,24,"Cleveland, OH",Penn State,AFC,AFC-North,2,6-7,"Nassib, Carl",DL,Browns,https://cpt.azureedge.net/NFLTeamImages/browns.png,http://www.clevelandbrowns.com/team/roster.html,275
94,24,"Houston, TX",Miami,AFC,AFC-South,1,6-6,"Kamalu, Ufomba",DE,Texans,https://cpt.azureedge.net/NFLTeamImages/texans.png,http://www.houstontexans.com/team/roster.html,295
94,24,"Washington, DC",Mississippi State,NFC,NFC-East,3,6-5,"Smith, Preston",LB,Redskins,https://cpt.azureedge.net/NFLTeamImages/redskins.png,http://www.redskins.com/team/roster.html,265
95,24,"Nashville, TN",Auburn,AFC,AFC-South,3,6-4,"Blackson, Angelo",DE,Titans,https://cpt.azureedge.net/NFLTeamImages/titans.png,http://www.titansonline.com/team/roster.html,318
95,24,"New Orleans, LA",Fresno State,NFC,NFC-South,2,6-2,"Davison, Tyeler",DT,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,309
96,24,"Jacksonville, FK",Ohio State,AFC,AFC-South,3,6-2,"Bennett, Michael",DT,Jaguars,https://cpt.azureedge.net/NFLTeamImages/jaguars.png,http://www.jaguars.com/team/roster.html,287
96,24,"New Orleans, LA",Texas-San Antonio,NFC,NFC-South,1,6-3,"Mabry, Ashaad",DT,Saints,https://cpt.azureedge.net/NFLTeamImages/saints.png,http://www.neworleanssaints.com/team/roster.html,315
97,24,"Atlanta, GA",Clemson,NFC,NFC-South,3,6-0,"Jarrett, Grady",DT,Falcons,https://cpt.azureedge.net/NFLTeamImages/falcons.png,http://www.atlantafalcons.com/team/player-roster.html,305
97,24,"Baltimore, MD",Samford,AFC,AFC-North,2,6-0,"Pierce, Michael",DT,Ravens,https://cpt.azureedge.net/NFLTeamImages/ravenss.png,http://www.baltimoreravens.com/team/roster.html,339
97,24,"Buffalo, NY",South Carolina,AFC,AFC-East,R,6-3,"Lewis, Marquavius",DE,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,270
97,24,"East Rutherford, NJ",Michigan State,AFC,AFC-East,2,6-3,"Thomas, Lawrence",DL,Jets,https://cpt.azureedge.net/NFLTeamImages/jets.png,http://www.newyorkjets.com/team/roster.html,286
97,24,"Miami, FL",Oklahoma,AFC,AFC-East,3,6-6,"Phillips, Jordan",DT,Dolphins,https://cpt.azureedge.net/NFLTeamImages/dolphins.png,http://www.miamidolphins.com/team/player-roster.html,335
97,24,"San Diego, CA",Georgia Tech,AFC,AFC-West,4,6-3,"Attaochu, Jeremiah",DE,Chargers,https://cpt.azureedge.net/NFLTeamImages/chargers.png,http://www.chargers.com/team/roster,252
98,24,"Oakland, CA",Texas Tech,AFC,AFC-West,1,6-4,"Jackson, Branden",DE,Raiders,https://cpt.azureedge.net/NFLTeamImages/raiders.png,http://www.raiders.com/team/roster.html,268
98,24,"San Francisco, CA",Appalachian State,NFC,NFC-West,2,6-4,"Blair, Ronald",DL,49ers,https://cpt.azureedge.net/NFLTeamImages/49ers.png,http://www.49ers.com/team/roster.html,270
99,24,"Baltimore, MD",Grand Valley State,AFC,AFC-North,2,6-3,"Judon, Matthew",OLB,Ravens,https://cpt.azureedge.net/NFLTeamImages/ravenss.png,http://www.baltimoreravens.com/team/roster.html,275
99,24,"Dallas, TX",Oklahoma,NFC,NFC-East,2,6-2,"Tapper, Charles",DE,Cowboys,https://cpt.azureedge.net/NFLTeamImages/cowboys.png,http://www.dallascowboys.com/team/roster,270
99,24,"Denver, CO",Georgia Tech,AFC,AFC-West,2,6-4,"Gotsis, Adam",DE,Broncos,https://cpt.azureedge.net/NFLTeamImages/broncos.png,http://www.denverbroncos.com/team/roster.html,287
99,24,"Indianapolis, IN",North Carolina State,AFC,AFC-South,3,6-0,"McGill, T.Y.",DT,Colts,https://cpt.azureedge.net/NFLTeamImages/colts.png,http://www.colts.com/team/roster.html,310
99,24,"Oakland, CA",Mississippi,AFC,AFC-West,R,6-4,"Brown, Fadol",DE,Raiders,https://cpt.azureedge.net/NFLTeamImages/raiders.png,http://www.raiders.com/team/roster.html,282
99,24,"Seattle, WA",Maryland,NFC,NFC-West,2,6-4,"Jefferson, Quinton",DT,Seahawks,https://cpt.azureedge.net/NFLTeamImages/seahawks.png,http://www.seahawks.com/team/roster,291
1,25,"Philadelphia, PA",Ohio State,NFC,NFC-East,R,5-11,"Johnston, Cameron",P,Eagles,https://cpt.azureedge.net/NFLTeamImages/eagles.png,http://www.philadelphiaeagles.com/team/roster.html,194
10,25,"Buffalo, NY",Ohio State,AFC,AFC-East,4,5-11,"Brown, Philly",WR,Bills,https://cpt.azureedge.net/NFLTeamImages/bills.png,http://www.buffalobills.com/team/roster.html,190
10,25,"Foxboro, MA",Eastern Illinois,AFC,AFC-East,4,6-2,"Garoppolo, Jimmy",QB,Patriots,https://cpt.azureedge.net/NFLTeamImages/patriots.png,http://www.patriots.com/team/roster,225
